user_id,skills,goal,course,completion
0,"python_basics,python_oop,numpy",data_scientist,pandas,1
1,python_basics,ai_engineer,data_structures,1
2,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,1
3,html,web_developer,css,1
4,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,llm_engineering,0
5,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning,feature_engineering,model_evaluation",data_scientist,deep_learning,1
6,"python_basics,python_oop,numpy",data_scientist,pandas,1
7,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
8,"python_basics,data_structures,algorithms",ai_engineer,cnn,0
9,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,llm_engineering,1
10,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization,machine_learning",data_scientist,feature_engineering,1
11,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn",ai_engineer,transformers,0
12,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,mlops,0
13,"python_basics,python_oop,numpy,pandas,statistics,probability",data_scientist,linear_algebra,1
14,"python_basics,data_structures,algorithms,linear_algebra",ai_engineer,computer_vision,0
15,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning,data_visualization",data_scientist,machine_learning,1
16,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
17,"python_basics,data_structures",ai_engineer,algorithms,1
18,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers",ai_engineer,linear_algebra,0
19,html,web_developer,css,1
20,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering,model_deployment",ai_engineer,nlp,0
21,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,nlp,1
22,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning",ai_engineer,deep_learning,1
23,"python_basics,python_oop,numpy,pandas,statistics",data_scientist,probability,1
24,html,web_developer,css,1
25,"html,css,responsive_design,javascript",web_developer,sql,0
26,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,linear_algebra,0
27,"python_basics,python_oop,numpy",data_scientist,mlops,0
28,"html,css,responsive_design,javascript",web_developer,dom_manipulation,1
29,python_basics,ai_engineer,linear_algebra,0
30,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision",ai_engineer,nlp,1
31,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,sql,0
32,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api",web_developer,authentication,1
33,"python_basics,data_structures,algorithms,linear_algebra,probability,machine_learning,deep_learning,cnn,computer_vision,nlp,transformers,llm_engineering",ai_engineer,transformers,0
34,"html,css,responsive_design,javascript,dom_manipulation,react,state_management,backend_basics,rest_api,authentication,sql",web_developer,dom_manipulation,0
35,"python_basics,data_structures,algorithms",ai_engineer,linear_algebra,1
36,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra",data_scientist,data_cleaning,1
37,"python_basics,python_oop,numpy,pandas,statistics,probability,linear_algebra,data_cleaning",data_scientist,data_visualization,1
38,python_basics,data_scientist,python_oop,1
39,"html,css,responsive_design,javascript,dom_manipulation",web_developer,react,1
