course_id,course_name,skill,difficulty,rating,duration_hours
0,PyTorch for Deep Learning,Deep Learning,Intermediate,3.5,10
1,Data Visualization with Python,Statistics,Intermediate,4.28,28
2,Deep Learning Fundamentals,PyTorch,Intermediate,3.08,16
3,Deep Learning Fundamentals,PyTorch,Beginner,3.52,19
4,Statistics for Data Science,SQL,Advanced,3.98,15
5,Statistics for Data Science,Statistics,Intermediate,4.09,16
6,TensorFlow Crash Course,PyTorch,Intermediate,3.99,9
7,Statistics for Data Science,SQL,Intermediate,4.23,34
8,Machine Learning Intro,Linear Algebra,Intermediate,3.34,18
9,Natural Language Processing,PyTorch,Beginner,3.49,10
10,Data Visualization with Python,SQL,Intermediate,4.1,7
11,Neural Networks,Numpy,Beginner,4.42,33
12,SQL for Data Science,Data Visualization,Intermediate,4.43,35
13,Python Basics,Data Analysis,Advanced,3.91,27
14,Natural Language Processing,SQL,Intermediate,3.0,16
15,Deep Learning Fundamentals,Pandas,Intermediate,3.14,19
16,TensorFlow Crash Course,Machine Learning,Beginner,3.31,30
17,Data Visualization with Python,Data Visualization,Intermediate,3.56,6
18,Pandas for Data Analysis,PyTorch,Advanced,4.12,25
19,Pandas for Data Analysis,SQL,Beginner,3.29,34
20,Natural Language Processing,TensorFlow,Advanced,4.63,30
21,Pandas for Data Analysis,Data Analysis,Intermediate,4.82,28
22,Machine Learning Intro,Python,Advanced,3.54,15
23,Data Visualization with Python,Data Analysis,Beginner,4.7,19
24,Computer Vision Basics,Python,Advanced,4.42,13
25,Data Visualization with Python,Machine Learning,Beginner,4.92,37
26,Python Basics,Machine Learning,Advanced,4.57,35
27,Natural Language Processing,Deep Learning,Advanced,3.13,31
28,Pandas for Data Analysis,Deep Learning,Beginner,3.48,21
29,Natural Language Processing,Statistics,Beginner,3.73,17
30,Statistics for Data Science,Data Visualization,Advanced,3.08,34
31,Python Basics,SQL,Beginner,3.78,38
32,SQL for Data Science,Data Analysis,Intermediate,3.68,34
33,PyTorch for Deep Learning,Data Analysis,Beginner,3.91,34
34,Statistics for Data Science,Statistics,Advanced,3.9,39
35,Data Visualization with Python,SQL,Advanced,3.73,28
36,SQL for Data Science,Numpy,Advanced,3.97,14
37,Statistics for Data Science,PyTorch,Intermediate,4.14,13
38,TensorFlow Crash Course,Data Visualization,Advanced,3.82,32
39,Statistics for Data Science,Deep Learning,Beginner,4.42,29
40,Statistics for Data Science,PyTorch,Intermediate,4.5,2
41,Statistics for Data Science,Numpy,Advanced,3.26,10
42,Data Visualization with Python,NLP,Intermediate,4.73,17
43,Natural Language Processing,PyTorch,Intermediate,3.4,22
44,TensorFlow Crash Course,Data Analysis,Intermediate,3.07,22
45,Numpy Fundamentals,Deep Learning,Intermediate,4.7,21
46,Machine Learning Intro,Python,Intermediate,4.56,31
47,Machine Learning Intro,Statistics,Intermediate,4.77,12
48,Statistics for Data Science,SQL,Intermediate,4.85,39
49,Pandas for Data Analysis,Pandas,Beginner,3.59,21
50,Advanced Python,NLP,Intermediate,4.3,7
51,PyTorch for Deep Learning,TensorFlow,Intermediate,3.83,28
52,Computer Vision Basics,TensorFlow,Beginner,4.33,24
53,PyTorch for Deep Learning,Linear Algebra,Beginner,3.6,19
54,TensorFlow Crash Course,Numpy,Intermediate,4.1,39
55,PyTorch for Deep Learning,PyTorch,Beginner,3.89,26
56,Deep Learning Fundamentals,Machine Learning,Beginner,4.95,29
57,Python Basics,Machine Learning,Advanced,3.06,37
58,PyTorch for Deep Learning,SQL,Beginner,4.59,7
59,Statistics for Data Science,Data Analysis,Intermediate,4.66,11
60,Natural Language Processing,Numpy,Intermediate,4.21,39
61,Pandas for Data Analysis,Data Analysis,Intermediate,3.5,24
62,Deep Learning Fundamentals,PyTorch,Advanced,3.0,9
63,Statistics for Data Science,Numpy,Advanced,3.54,34
64,Machine Learning Intro,Statistics,Intermediate,4.04,39
65,TensorFlow Crash Course,Computer Vision,Intermediate,3.59,12
66,Natural Language Processing,Deep Learning,Beginner,3.19,9
67,Numpy Fundamentals,Python,Advanced,4.6,2
68,Python Basics,Linear Algebra,Advanced,3.65,11
69,Machine Learning Intro,NLP,Intermediate,3.56,12
70,Data Visualization with Python,Linear Algebra,Intermediate,3.91,29
71,Pandas for Data Analysis,Data Visualization,Advanced,3.72,12
72,TensorFlow Crash Course,Linear Algebra,Intermediate,4.8,29
73,Neural Networks,Data Analysis,Beginner,4.77,9
74,Computer Vision Basics,TensorFlow,Intermediate,4.35,17
75,Advanced Python,Numpy,Intermediate,3.32,25
76,TensorFlow Crash Course,TensorFlow,Beginner,3.29,23
77,Deep Learning Fundamentals,Numpy,Advanced,4.62,32
78,Neural Networks,Data Analysis,Beginner,3.53,28
79,Natural Language Processing,Machine Learning,Intermediate,3.43,25
80,Deep Learning Fundamentals,Statistics,Advanced,3.38,9
81,Computer Vision Basics,Statistics,Advanced,4.39,39
82,Machine Learning Intro,Machine Learning,Beginner,4.58,14
83,TensorFlow Crash Course,NLP,Intermediate,4.49,27
84,Machine Learning Intro,Computer Vision,Beginner,4.66,13
85,Deep Learning Fundamentals,Python,Beginner,4.32,2
86,Natural Language Processing,NLP,Advanced,3.24,7
87,Natural Language Processing,Pandas,Beginner,3.71,33
88,Data Visualization with Python,Pandas,Beginner,3.76,23
89,Advanced Python,Numpy,Beginner,3.44,39
90,Deep Learning Fundamentals,Linear Algebra,Advanced,3.05,15
91,Data Visualization with Python,Deep Learning,Intermediate,4.17,20
92,SQL for Data Science,TensorFlow,Intermediate,3.82,39
93,Python Basics,Data Visualization,Beginner,3.47,38
94,Machine Learning Intro,Pandas,Advanced,3.58,32
95,Statistics for Data Science,TensorFlow,Advanced,3.55,36
96,Natural Language Processing,Deep Learning,Beginner,4.77,18
97,PyTorch for Deep Learning,Data Analysis,Advanced,3.32,15
98,Statistics for Data Science,Statistics,Beginner,3.15,34
99,Machine Learning Intro,Statistics,Beginner,4.21,22
100,Python Basics,Linear Algebra,Advanced,4.09,33
101,Computer Vision Basics,Data Analysis,Beginner,3.95,40
102,Pandas for Data Analysis,SQL,Beginner,3.13,37
103,PyTorch for Deep Learning,Data Analysis,Intermediate,3.38,31
104,SQL for Data Science,TensorFlow,Beginner,4.13,35
105,Natural Language Processing,Data Analysis,Advanced,3.21,22
106,Advanced Python,Data Analysis,Beginner,3.93,30
107,Machine Learning Intro,Numpy,Advanced,4.63,35
108,Numpy Fundamentals,Linear Algebra,Advanced,3.88,12
109,Statistics for Data Science,Machine Learning,Intermediate,4.78,17
110,Machine Learning Intro,SQL,Beginner,4.21,24
111,Data Visualization with Python,Pandas,Intermediate,4.14,37
112,Neural Networks,Pandas,Beginner,4.44,12
113,Data Visualization with Python,Linear Algebra,Intermediate,4.31,23
114,Pandas for Data Analysis,NLP,Intermediate,3.68,33
115,TensorFlow Crash Course,Pandas,Advanced,4.86,17
116,PyTorch for Deep Learning,Numpy,Intermediate,4.94,16
117,Advanced Python,NLP,Intermediate,3.05,21
118,PyTorch for Deep Learning,Computer Vision,Advanced,4.01,2
119,Natural Language Processing,SQL,Advanced,3.92,16
120,Numpy Fundamentals,Python,Beginner,3.47,14
121,SQL for Data Science,Linear Algebra,Beginner,4.27,34
122,Neural Networks,Pandas,Advanced,4.88,34
123,Natural Language Processing,Computer Vision,Beginner,4.74,24
124,SQL for Data Science,SQL,Advanced,4.24,28
125,Machine Learning Intro,Computer Vision,Advanced,3.64,36
126,PyTorch for Deep Learning,Pandas,Intermediate,3.04,14
127,Computer Vision Basics,Statistics,Intermediate,3.81,19
128,Python Basics,Linear Algebra,Beginner,3.76,5
129,Advanced Python,Deep Learning,Advanced,3.69,4
130,Python Basics,NLP,Beginner,4.2,21
131,Machine Learning Intro,Data Visualization,Beginner,3.48,4
132,Statistics for Data Science,Statistics,Intermediate,4.6,38
133,Neural Networks,SQL,Intermediate,3.41,37
134,Machine Learning Intro,Deep Learning,Intermediate,3.1,18
135,Data Visualization with Python,Data Visualization,Beginner,4.93,19
136,PyTorch for Deep Learning,Linear Algebra,Intermediate,3.98,23
137,Statistics for Data Science,Data Visualization,Beginner,3.8,18
138,Natural Language Processing,Deep Learning,Advanced,4.68,11
139,Numpy Fundamentals,Deep Learning,Beginner,4.44,8
140,Statistics for Data Science,Python,Advanced,3.21,19
141,Deep Learning Fundamentals,Statistics,Intermediate,3.37,24
142,Numpy Fundamentals,PyTorch,Beginner,3.51,3
143,Numpy Fundamentals,Data Visualization,Beginner,3.62,19
144,Deep Learning Fundamentals,PyTorch,Intermediate,3.28,19
145,TensorFlow Crash Course,Python,Beginner,3.16,25
146,Deep Learning Fundamentals,PyTorch,Advanced,4.0,2
147,Deep Learning Fundamentals,TensorFlow,Intermediate,3.05,19
148,Python Basics,PyTorch,Advanced,3.16,17
