course_id,course_name,skill,difficulty,rating,duration_hours,num_students,text
0,SQL for Data Science,SQL,Intermediate,4.71,7,487977,SQL for Data Science SQL Intermediate
1,Deep Learning Fundamentals,Deep Learning,Beginner,4.14,31,417378,Deep Learning Fundamentals Deep Learning Beginner
2,Deep Learning Fundamentals,Deep Learning,Beginner,4.49,21,314289,Deep Learning Fundamentals Deep Learning Beginner
3,Advanced Python,Python,Intermediate,4.61,16,476434,Advanced Python Python Intermediate
4,Data Visualization with Python,Data Visualization,Beginner,4.19,18,246366,Data Visualization with Python Data Visualization Beginner
5,Computer Vision Basics,Computer Vision,Advanced,4.38,4,163282,Computer Vision Basics Computer Vision Advanced
6,Deep Learning Fundamentals,Deep Learning,Intermediate,3.99,26,422291,Deep Learning Fundamentals Deep Learning Intermediate
7,Statistics for Data Science,Statistics,Advanced,3.91,20,314232,Statistics for Data Science Statistics Advanced
8,Data Analysis Course,Data Analysis,Intermediate,4.35,13,121303,Data Analysis Course Data Analysis Intermediate
9,Python Basics,Python,Advanced,4.48,19,352234,Python Basics Python Advanced
10,Computer Vision Basics,Computer Vision,Intermediate,3.84,36,257419,Computer Vision Basics Computer Vision Intermediate
11,SQL for Data Science,SQL,Advanced,4.41,34,88476,SQL for Data Science SQL Advanced
12,Statistics for Data Science,Statistics,Beginner,4.61,18,481954,Statistics for Data Science Statistics Beginner
13,Machine Learning Intro,Machine Learning,Advanced,4.39,10,402879,Machine Learning Intro Machine Learning Advanced
14,Data Visualization with Python,Data Visualization,Beginner,4.32,32,226758,Data Visualization with Python Data Visualization Beginner
15,Pandas for Data Analysis,Pandas,Advanced,3.72,2,456051,Pandas for Data Analysis Pandas Advanced
16,SQL for Data Science,SQL,Intermediate,4.3,6,490915,SQL for Data Science SQL Intermediate
17,Linear Algebra Course,Linear Algebra,Advanced,4.4,25,13994,Linear Algebra Course Linear Algebra Advanced
18,PyTorch for Deep Learning,PyTorch,Beginner,4.6,18,172404,PyTorch for Deep Learning PyTorch Beginner
19,Linear Algebra Course,Linear Algebra,Advanced,3.72,39,139549,Linear Algebra Course Linear Algebra Advanced
20,Numpy Fundamentals,Numpy,Beginner,3.72,31,439987,Numpy Fundamentals Numpy Beginner
21,TensorFlow Crash Course,TensorFlow,Beginner,3.68,4,290456,TensorFlow Crash Course TensorFlow Beginner
22,Natural Language Processing,NLP,Beginner,4.78,40,449329,Natural Language Processing NLP Beginner
23,SQL for Data Science,SQL,Beginner,4.63,5,32791,SQL for Data Science SQL Beginner
24,SQL for Data Science,SQL,Beginner,3.63,36,39810,SQL for Data Science SQL Beginner
25,Data Visualization with Python,Data Visualization,Intermediate,4.29,9,285972,Data Visualization with Python Data Visualization Intermediate
26,ML Algorithms,Machine Learning,Beginner,4.8,5,95175,ML Algorithms Machine Learning Beginner
27,Statistics for Data Science,Statistics,Intermediate,4.63,24,62548,Statistics for Data Science Statistics Intermediate
28,Probability Course,Probability,Advanced,4.31,21,109819,Probability Course Probability Advanced
29,Numpy Fundamentals,Numpy,Advanced,4.2,22,267623,Numpy Fundamentals Numpy Advanced
30,Natural Language Processing,NLP,Beginner,4.94,20,326057,Natural Language Processing NLP Beginner
31,Python Basics,Python,Beginner,3.71,17,476588,Python Basics Python Beginner
32,Computer Vision Basics,Computer Vision,Beginner,4.21,39,147480,Computer Vision Basics Computer Vision Beginner
33,Natural Language Processing,NLP,Intermediate,3.53,40,102127,Natural Language Processing NLP Intermediate
34,Computer Vision Basics,Computer Vision,Advanced,3.76,10,100558,Computer Vision Basics Computer Vision Advanced
35,Probability Course,Probability,Intermediate,4.44,36,156439,Probability Course Probability Intermediate
36,SQL for Data Science,SQL,Intermediate,4.55,21,123359,SQL for Data Science SQL Intermediate
37,TensorFlow Crash Course,TensorFlow,Beginner,4.65,27,28804,TensorFlow Crash Course TensorFlow Beginner
38,Linear Algebra Course,Linear Algebra,Beginner,3.93,5,19171,Linear Algebra Course Linear Algebra Beginner
39,Probability Course,Probability,Beginner,3.66,15,196943,Probability Course Probability Beginner
40,PyTorch for Deep Learning,PyTorch,Intermediate,4.16,34,298438,PyTorch for Deep Learning PyTorch Intermediate
