course_id,course_name,skill,difficulty
0,Statistics for Data Science,TensorFlow,Intermediate
1,Advanced Python,Numpy,Intermediate
2,SQL for Data Science,Machine Learning,Beginner
3,Statistics for Data Science,Python,Beginner
4,Pandas for Data Analysis,Numpy,Advanced
5,Pandas for Data Analysis,Machine Learning,Intermediate
6,Python Basics,Pandas,Beginner
7,TensorFlow Crash Course,TensorFlow,Advanced
8,Pandas for Data Analysis,Numpy,Beginner
9,Deep Learning Fundamentals,TensorFlow,Advanced
10,PyTorch for Deep Learning,Linear Algebra,Beginner
11,PyTorch for Deep Learning,Statistics,Advanced
12,Statistics for Data Science,Machine Learning,Beginner
13,PyTorch for Deep Learning,Deep Learning,Intermediate
14,Pandas for Data Analysis,TensorFlow,Beginner
15,Advanced Python,TensorFlow,Beginner
16,TensorFlow Crash Course,PyTorch,Beginner
17,Data Visualization with Python,Data Visualization,Beginner
18,Statistics for Data Science,PyTorch,Advanced
19,Python Basics,PyTorch,Advanced
20,Deep Learning Fundamentals,TensorFlow,Intermediate
21,PyTorch for Deep Learning,PyTorch,Advanced
22,SQL for Data Science,Deep Learning,Intermediate
23,Advanced Python,PyTorch,Beginner
24,Statistics for Data Science,Data Visualization,Beginner
25,Machine Learning Intro,Linear Algebra,Intermediate
26,Python Basics,Data Visualization,Beginner
27,Advanced Python,Pandas,Advanced
28,PyTorch for Deep Learning,Statistics,Intermediate
29,TensorFlow Crash Course,Data Analysis,Beginner
30,Statistics for Data Science,Numpy,Intermediate
31,TensorFlow Crash Course,Statistics,Advanced
32,PyTorch for Deep Learning,TensorFlow,Beginner
33,Pandas for Data Analysis,Linear Algebra,Beginner
34,Machine Learning Intro,SQL,Intermediate
35,SQL for Data Science,TensorFlow,Intermediate
36,Statistics for Data Science,Numpy,Beginner
37,SQL for Data Science,Machine Learning,Beginner
38,TensorFlow Crash Course,PyTorch,Beginner
39,Data Visualization with Python,Data Analysis,Beginner
40,PyTorch for Deep Learning,Data Visualization,Beginner
41,Pandas for Data Analysis,Numpy,Intermediate
42,TensorFlow Crash Course,Data Analysis,Advanced
43,Advanced Python,Pandas,Beginner
44,Pandas for Data Analysis,SQL,Beginner
45,Statistics for Data Science,Data Analysis,Advanced
46,Statistics for Data Science,Machine Learning,Advanced
47,SQL for Data Science,Statistics,Advanced
48,Deep Learning Fundamentals,Data Visualization,Advanced
49,Numpy Fundamentals,Numpy,Intermediate
50,Pandas for Data Analysis,Statistics,Beginner
51,Advanced Python,Data Analysis,Intermediate
52,Python Basics,Pandas,Intermediate
53,Deep Learning Fundamentals,Pandas,Intermediate
54,Numpy Fundamentals,Linear Algebra,Advanced
55,Python Basics,Deep Learning,Intermediate
56,Pandas for Data Analysis,Pandas,Beginner
57,Pandas for Data Analysis,Numpy,Intermediate
58,TensorFlow Crash Course,Deep Learning,Intermediate
59,Deep Learning Fundamentals,SQL,Beginner
60,TensorFlow Crash Course,Statistics,Advanced
61,Neural Networks,Pandas,Intermediate
62,SQL for Data Science,Linear Algebra,Advanced
63,Neural Networks,PyTorch,Intermediate
64,SQL for Data Science,PyTorch,Advanced
65,SQL for Data Science,TensorFlow,Advanced
66,Python Basics,SQL,Intermediate
67,Data Visualization with Python,Deep Learning,Beginner
68,Numpy Fundamentals,PyTorch,Advanced
69,Python Basics,Deep Learning,Advanced
70,Advanced Python,Numpy,Intermediate
71,Deep Learning Fundamentals,Statistics,Intermediate
72,Deep Learning Fundamentals,Deep Learning,Beginner
73,Numpy Fundamentals,SQL,Beginner
74,Data Visualization with Python,Data Visualization,Intermediate
75,SQL for Data Science,Linear Algebra,Beginner
76,Data Visualization with Python,Data Analysis,Beginner
77,PyTorch for Deep Learning,Data Visualization,Advanced
78,PyTorch for Deep Learning,Numpy,Intermediate
79,Deep Learning Fundamentals,Pandas,Advanced
80,Pandas for Data Analysis,SQL,Intermediate
81,Numpy Fundamentals,Linear Algebra,Intermediate
82,Neural Networks,Data Visualization,Intermediate
83,Python Basics,Linear Algebra,Intermediate
84,SQL for Data Science,Python,Beginner
85,Data Visualization with Python,SQL,Advanced
86,Numpy Fundamentals,TensorFlow,Intermediate
87,Deep Learning Fundamentals,Deep Learning,Advanced
88,Machine Learning Intro,Data Visualization,Intermediate
89,TensorFlow Crash Course,Statistics,Intermediate
90,Deep Learning Fundamentals,Statistics,Intermediate
91,Pandas for Data Analysis,PyTorch,Beginner
92,TensorFlow Crash Course,Machine Learning,Intermediate
93,TensorFlow Crash Course,TensorFlow,Intermediate
94,Machine Learning Intro,Pandas,Intermediate
